Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,yield_per_area,fert_per_area,pest_per_area,rain_x_fert,year_from
Arecanut,1997,Whole Year ,Assam,73814.0,56708,2051.4,7024.87838,22882.34,0.796086957,0.7682553445145908,0.09517,0.31,14410835.508732,0
Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685,2051.4,631.6432900000001,2057.47,0.710434783,0.7058912159108031,0.09517000000000002,0.30999999999999994,1295753.0451060003,0
Castor seed,1997,Kharif     ,Assam,796.0,22,2051.4,75.75532000000001,246.76,0.238333333,0.02763819095477387,0.09517000000000002,0.31,155404.46344800002,0
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,2051.4,1870.66152,6093.36,5238.051739,6456.2983312983315,0.09517,0.31,3837475.0421280004,0
Cotton(lint),1997,Kharif     ,Assam,1739.0,794,2051.4,165.50063,539.09,0.420909091,0.4565842438182864,0.09517,0.31,339507.992382,0
Dry chillies,1997,Whole Year ,Assam,13587.0,9073,2051.4,1293.0747900000001,4211.97,0.643636364,0.667770663133878,0.09517,0.31,2652613.6242060005,0
Gram,1997,Rabi       ,Assam,2979.0,1507,2051.4,283.51143,923.49,0.465454545,0.5058744545149378,0.09517,0.31,581595.347502,0
Jute,1997,Kharif     ,Assam,94520.0,904095,2051.4,8995.4684,29301.2,9.919565217,9.565118493440542,0.09516999999999999,0.31,18453303.87576,0
Linseed,1997,Rabi       ,Assam,10098.0,5158,2051.4,961.02666,3130.38,0.461363636,0.5107942166765697,0.09517,0.31,1971450.090324,0
Maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,1828.78672,5956.96,0.615652174,0.7660803497085762,0.09517,0.31,3751573.0774080004,0
